yr,plt,fg,sp,bio
2014,5,PG,ELGL_S,0
2014,5,PG,ELMU3,0
2014,5,PG,NAPU4,84.47
2014,5,PG,NAPU4_S,0
2014,5,PG,PHAQ,0
2014,5,PG,UNGRP,0
2014,5,PG,UNGRPS,0
2014,5,PG,UNSENPG,0
2014,6,AF,ANAR,0
2014,6,AF,CAPY2,0
2014,6,AF,CEDA,0
2014,6,AF,CEGL2,0
2014,6,AF,CESO3,0
2014,6,AF,COCA5,0
2014,6,AF,CRSE11,0
2014,6,AF,EPBR3,0
2014,6,AF,ERBO,0
2014,6,AF,ERCI6,0
2014,6,AF,GEDI,0
2014,6,AF,HECOL3,0
2014,6,AF,HYGL2,0
2014,6,AF,KISP,0
2014,6,AF,LASE,0
2014,6,AF,LIHY3,0
2014,6,AF,LOGA2,0
2014,6,AF,MADI6,0
2014,6,AF,MAGR3,0
2014,6,AF,PAVI3,0
2014,6,AF,PIEC,0
2014,6,AF,PSLU6,0
2014,6,AF,SEVU,0
2014,6,AF,SOAS,0
