SPECIES_CODE,FAMILY_CODE,NATIVE_CODE,HARVEST_CODE,USDA.CODE,Probable.USDA.equivalent,Species.or.unit.name,Earlier.or.other.species.name,Family.TJM2,Genus,Taxonomic.level,Functional..group,Seasonality,Note.
PSCA13,AST,N,PART,PSCA13,,Pseudognaphalium californicum,Gnaphalium californicum,Asteraceae,Pseudognaphalium,species,perennial forb,perennial ,
PSLU6,AST,I,INDIV,PSLU6,,Pseudognaphalium luteoalbum,Gnaphalium luteo-album,Asteraceae,Pseudognaphalium,species,"annual forb, minus N-fixers",annual ,
QUAG,FAG,N,PART,QUAG,,Quercus agrifolia,,Fagaceae,Quercus,species,perennial woody,perennial ,
QULO,FAG,N,PART,QULO,,Quercus lobata,,Fagaceae,Quercus,species,perennial woody,perennial ,
RUAC3,POL,I,PART,RUAC3,,Rumex acetosella,,Polygonaceae,Rumex,species,perennial forb,perennial ,
RUCR,POL,I,PART,RUCR,,Rumex crispus,,Polygonaceae,Rumex,species,perennial forb,perennial ,
SEVU,AST,I,INDIV,SEVU,,Senecio vulgaris,,Asteraceae,Senecio,species,"annual forb, minus N-fixers",annual ,Found first in 2011 in Plot 7-4. USDA considers annual or biennial.
SIBE,IRI,N,PART,SIBE,,Sisyrinchium bellum,,Iridaceae,Sisyrinchium,species,perennial forb,perennial ,
SOAS,AST,I,INDIV,SOAS,,Sonchus asper ssp.asper,Sonchus asper,Asteraceae,Sonchus,species,"annual forb, minus N-fixers",annual ,
TOAR,API,I,INDIV,TOAR,,Torilis arvensis,,Apiaceae,Torilis,species,"annual forb, minus N-fixers",annual ,
TODI,ANA,N,PART,TODI,,Toxicodendron diversilobum,,Anacardiaceae,Toxicodendron,species,perennial woody,perennial ,
TRDU2,FAB,I,INDIV,TRDU2,,Trifolium dubium,,Fabaceae,Trifolium,species,nitrogen fixer,nitrogen ,This species may have been mis-identified as Medicago polymorpha until 2006. 
TRHI4,FAB,I,INDIV,TRHI4,,Trifolium hirtum,,Fabaceae,Trifolium,species,nitrogen fixer,nitrogen ,
TRSU3,FAB,I,INDIV,TRSU3,,Trifolium subterraneum,,Fabaceae,Trifolium,species,nitrogen fixer,nitrogen ,First identified in 2007. 
UN,UNID,U,UN,,,unidentified,,unidentified,unidentified,other,unidentified,NA,
UNAP,API,U,INDIV,,,"Apiaceae, unidentified",,Apiaceae,"Apiaceae,",family,forb,NA,"If identified only to family, then most likely too small to be flowering, and therefore the whole plant would have been taken."
UNAS,AST,U,INDIV,,,"Asteraceae, unidentified",,Asteraceae,"Asteraceae,",family,forb,NA,"If identified only to family, then most likely too small to be flowering, and therefore the whole plant would have been taken."
UNAV,POA,I,INDIV,,,Avena,,Poaceae,Avena,genus,annual grass,annual ,
UNBR,BRA,U,INDIV,,,"Brassicaceae, unidentified",,Brassicaceae,"Brassicaceae,",family,forb,NA,"If identified only to family, then most likely too small to be flowering, and therefore the whole plant would have been taken."
UNER,GER,I,PART,,,Erodium,,Geraniaceae,Erodium,genus,"annual forb, minus N-fixers",annual ,
UNEU,EUP,U,INDIV,,,Euphorbia,,Euphorbiaceae,Euphorbia,genus,"annual forb, minus N-fixers",annual ,"ours are small, likely annual"
UNFE,POA,I,INDIV,,,Festuca,Vulpia,Poaceae,Festuca,family,annual grass,annual ,
UNFO,UNID,U,INDIV,,,"forb, unidentified",,unidentified,unidentified,other,unidentified forb,NA,
UNFOA,UNID,I,INDIV,,,"forb, annual, unidentified",,unidentified,unidentified,other,"annual forb, minus N-fixers",annual ,"Unknown forbs usually are very small, and stored in annual plant bags. "
UNGA,RUB,N,INDIV,,,Galium (not G. murale) ,,Rubiaceae,Galium,genus,"annual forb, minus N-fixers",annual ,"Except for G. murale (the tiny Galium), the other four Galiums at JR are native."
UNGR,POA,U,INDIV,,,"grass, unidentified",,Poaceae,unidentified,family,unidentified grass,NA,
UNGRA,POA,U,INDIV,,,"grass, annual, unidentified",,Poaceae,unidentified,family,annual grass,annual ,
UNGRP,POA,U,PART,,,"grass, perennial, unidentified",,Poaceae,unidentified,family,perennial grass,perennial ,
UNGRPS,POA,U,INDIV,,,perennial grass seedling,,Poaceae,unidentified,family,perennial grass,perennial ,
UNHO,POA,U,INDIV,,,Hordeum,,Poaceae,Hordeum,genus,annual grass,annual ,
UNLU,FAB,N,INDIV,,,Lupinus,,Fabaceae,Lupinus,genus,nitrogen fixer,NA,Probably either Lupinus bicolor or Lupinus nanus. Rarely found.
UNPL,PLA,U,PART,,,Plantago,,Plantaginaceae,Plantago,genus,perennial forb,perennial ,
UNRS,UNID,U,INDIV,,,rush or sedge,,unidentified,unidentified,other,annual grass,annual ,
UNRU,POL,I,PART,,,Rumex,,Polygonaceae,Rumex,genus,perennial forb,perennial ,
UNSEN,UNID,U,UN,,,unidentified senescent,,unidentified,unidentified,other,unidentified,NA,
UNSENAG,POA,U,INDIV,,,unidentified senesced annual grass,,Poaceae,unidentified,family,annual grass,annual ,"in some years, lumped with UNSEN"
UNSENPG,,,UN,,,,,,,,perennial grass,perennial ,
UNTR,FAB,U,INDIV,,,Trifolium,,Fabaceae,Trifolium,genus,nitrogen fixer,nitrogen ,
URPI,AST,I,INDIV,URPI,,Urospermum picroides,,Asteraceae,Urospermum,species,"annual forb, minus N-fixers",annual ,It is likely this is the species started showing up (or getting recognized) in 2008 first in Pl2Q3
VISA,FAB,I,PART,VISA,,Vicia sativa,,Fabaceae,Vicia,species,nitrogen fixer,nitrogen ,
VITE,FAB,I,PART,VITE,,Vicia tetrasperma,,Fabaceae,Vicia,species,nitrogen fixer,nitrogen ,A big patch of this species existed in between Plot 5 and 6 in 2006.
VUBR,POA,I,INDIV,VUBR,,Festuca bromoides,Vulpia bromoides,Poaceae,Festuca,species,annual grass,annual ,
WYAN,AST,N,PART,WYAN,,Wyethia angustifolia,,Asteraceae,Wyethia,species,perennial forb,perennial ,
